Price,Close,High,Low,Open,Volume,simple_return,log_return,log_squared_return,rolling_mean_5,rolling_std_5,rolling_mean_10,rolling_std_10,log_lag_1,log_lag_2
2025-03-13,209.4053955078125,216.55602242060417,208.14705109128238,215.6671885752157,61368300,-0.0336436365541428,-0.0342226065401511,0.0011711867984019928,-0.023081246329205822,0.024566723656631623,-0.01237426210328004,0.021705365234149305,-0.0176332976677464,-0.0296238554485444
2025-03-14,213.21041870117188,213.66980775083542,209.30553558500114,210.97334672214788,60107600,0.0181706072287779,0.0180074946846092,0.00032426986481622863,-0.02263327427888834,0.025456538215743674,-0.01246862638208991,0.021555580252718143,-0.0342226065401511,-0.0176332976677464
2025-03-17,213.71974182128906,214.93814530685134,209.69502079955336,213.0306430192638,48073400,0.0023888284785511,0.0023859797636267,5.692899432436123e-06,-0.0122172570416412,0.022041714502385044,-0.010642065910060599,0.022003657628199377,0.0180074946846092,-0.0342226065401511
2025-03-18,212.4114532470703,214.8682229774316,211.21302787332291,213.87952928252258,42432400,-0.006121514854312,-0.0061403281428791,3.7703629702233094e-05,-0.007520551580508139,0.019792630564283417,-0.01036994450933685,0.022044912284466946,0.0023859797636267,0.0180074946846092
2025-03-19,214.95811462402344,218.47349365471302,213.470060528986,213.93944620866878,54385400,0.0119892846549611,0.011917982523606,0.00014203830743297804,-0.0016102955422376598,0.0204201263531786,-0.009097584902948649,0.023004564024290047,-0.0061403281428791,0.0023859797636267
2025-03-20,213.81961059570312,217.20517028159983,211.94206785632258,213.70975404736055,48862900,-0.0052963993953503,-0.005310475040786,2.8201145158811068e-05,0.00417213075763536,0.010616878911062473,-0.009454557785785231,0.02290520203584952,0.011917982523606,-0.0061403281428791
2025-03-21,217.98414611816406,218.5533916912833,211.0032951126973,211.2829271905112,94127800,0.019476864216797,0.0192896175103324,0.00037208934369492233,0.0044285553227800005,0.011041567078394779,-0.00910235947805417,0.023358706964260123,-0.005310475040786,0.011917982523606
2025-03-24,220.44091796875,221.1899357355996,218.29373979930335,220.71056863168138,44299500,0.0112704152771467,0.0112073773471291,0.00012560530700094253,0.006192834839480481,0.011334479655507695,-0.0030122111010803597,0.019161764986965955,0.0192896175103324,-0.005310475040786
2025-03-25,223.45697021484375,223.80651793975238,219.79177838679217,220.48087718007702,34493600,0.0136819074874352,0.0135891552519067,0.00018466514046042347,0.010138731518437642,0.009200949132199269,0.0013090899689647503,0.017273127675579633,0.0112073773471291,0.0192896175103324
2025-03-26,221.2398681640625,224.7253029108424,220.18125884970436,223.21727075576553,34466100,-0.0099218299104727,-0.0099713792842622,9.942840483061334e-05,0.005760859156864001,0.012689088324418684,0.0020752818073131703,0.01649179221826532,0.0135891552519067,0.0112073773471291
2025-03-27,223.5568389892578,224.69534536875565,220.271139232742,221.1000540446544,37094800,0.0104726641017391,0.0104182056418347,0.00010853900879555636,0.00890659529338814,0.011109568017945609,0.00653936302551175,0.01054408925275642,-0.0099713792842622,0.0135891552519067
2025-03-28,217.6146240234375,223.51688772665744,217.39491092445158,221.3796909591809,39818600,-0.0265803318417193,-0.026939976158929,0.0007257623154436629,-0.00033932344046413916,0.017631112234803546,0.00204461594115793,0.0140946047931832,0.0104182056418347,-0.0099713792842622
2025-03-31,221.83909606933594,225.32451569687797,215.9468137615173,216.72579102857173,65299300,0.0194126293894818,0.0192266078891265,0.0003696624509222214,0.0012645226679353408,0.019235788472037392,0.0037286787537079103,0.015109469440493397,-0.026939976158929,0.0104182056418347
2025-04-01,222.897705078125,223.3870536043053,218.61331487709137,219.5221267668628,36412700,0.0047719677349307,0.0047606179896558,2.266348364343443e-05,-0.0005011847845148392,0.018198899229722267,0.0048187733669614,0.014706193478947714,0.0192266078891265,-0.026939976158929
2025-04-02,223.59678649902344,224.89508702876748,220.73055001137135,221.03016017035932,35905900,0.003136332967867,0.0031314249350967,9.805822124145372e-06,0.002119376059356941,0.01742106703480117,0.00394011760811047,0.014495888897727405,0.0047606179896558,0.0192266078891265
2025-04-03,202.9239044189453,207.2182761783418,200.9864426085102,205.27081771109022,103419000,-0.0924560786573218,-0.097013315840535,0.0094115834503754,-0.019366928237117,0.04654054140155835,-0.00523016647186443,0.03520773007618446,0.0031314249350967,0.0047606179896558
2025-04-04,188.13330078125,199.61824028069563,187.09465424061224,193.6360793511012,125910900,-0.0728874386684353,-0.0756802954031036,0.005727507112301024,-0.02911499208595192,0.0531573336862869,-0.014727157763208033,0.04029933930816738,-0.097013315840535,0.0031314249350967
2025-04-07,181.2223663330078,193.89573468350994,174.39131242893686,176.967935484531,160466300,-0.0367342433239812,-0.0374259377835288,0.0014007008189765684,-0.04044550122048298,0.04580684403705444,-0.01959048927627382,0.03975263136927759,-0.0756802954031036,-0.097013315840535
2025-04-08,172.19419860839844,190.09072892121037,168.9884109270566,186.4554964395268,120859500,-0.0498181759089246,-0.051101918920924,0.0026114061174006904,-0.05161800860259894,0.03820637793840164,-0.02605959669355689,0.03901001749765323,-0.0374259377835288,-0.0756802954031036
2025-04-09,198.58958435058594,200.3472738997123,171.6648855169899,171.72480450043201,184395900,0.1532884728725123,0.1426174032917274,0.020339723721675217,-0.023720812931272806,0.09575690104390219,-0.010800718435957929,0.06629965570073959,-0.051101918920924,-0.0374259377835288
2025-04-10,190.17062377929688,194.52491452460524,182.76034285398336,188.82240088513313,121880000,-0.0423937670186489,-0.0433186157982462,0.0018765024746760655,-0.012981872922815042,0.08819466412729993,-0.01617440057996602,0.06656592841046668,0.1426174032917274,-0.051101918920924
2025-04-11,197.89048767089844,199.27866665425725,185.81632494094944,185.856281088865,87435900,0.0405944080015263,0.0397920960382993,0.0015834109071212348,0.010112605365465538,0.08261419385229993,-0.009501193360243193,0.06867818641762682,-0.0433186157982462,0.1426174032917274
2025-04-14,202.25477600097656,212.6611277249045,200.8965565016436,211.1630921847052,101352900,0.0220540581886692,0.0218143848921085,0.0004758673882210516,0.021960669900592998,0.07822332691831799,-0.009242415659944991,0.06880322087438354,0.0397920960382993,-0.0433186157982462
2025-04-15,201.87527465820312,203.24347561495443,199.53834280484799,201.59564256833872,51343900,-0.0018763529360197,-0.0018781154913189,3.527317798732033e-06,0.031805430586514014,0.06932009942203722,-0.009906289008042461,0.06868502142353365,0.0218143848921085,0.0397920960382993
2025-04-16,194.0155792236328,200.4371508814261,192.11805840887246,198.10021911176236,59732400,-0.0389334228665577,-0.0397115933964963,0.0015770106500886483,-0.00466036875113072,0.036768612815223124,-0.01419059084120176,0.06911625574543118,-0.0018781154913189,0.0218143848921085
2025-04-17,196.72203063964844,198.56961397436802,194.16538565496842,196.94174374665747,51334300,0.013949660263602,0.0138532592262003,0.00019191279118830373,0.006774006253758581,0.030009553690400727,-0.0031039333345282303,0.062973738157704,-0.0397115933964963,-0.0018781154913189
2025-04-21,192.9070281982422,193.54618940120912,189.56140949031536,193.01688474432112,46742500,-0.0193928581816771,-0.019583366680856,0.000383508250556861,-0.005101086290072479,0.025008603475403103,0.0025057595376965294,0.05810027933485709,0.0138532592262003,-0.0397115933964963
